# restwave bluenorm blueerr rednorm rederr
923.999 -0.518 0.203 -0.161 0.191
924.131 0.032 0.206 0.132 0.192
924.262 0.045 0.206 -0.044 0.191
924.394 -0.034 0.207 0.116 0.193
924.526 -0.132 0.207 0.140 0.196
924.658 -0.099 0.208 0.336 0.199
924.789 0.010 0.209 0.284 0.199
924.921 0.311 0.212 0.215 0.198
925.053 -0.043 0.203 0.065 0.197
925.184 -0.527 0.240 -0.239 0.193
925.316 -0.590 0.268 0.212 0.194
925.448 0.078 0.208 0.251 0.193
925.580 0.267 0.210 0.135 0.191
925.711 -0.065 0.205 -0.058 0.188
925.843 0.146 0.204 -0.194 0.186
925.975 0.318 0.204 -0.116 0.186
926.106 -0.099 0.200 0.220 0.187
926.238 -0.256 0.200 -0.127 0.186
926.370 0.147 0.203 -0.273 0.187
926.502 -0.043 0.203 0.002 0.189
926.633 0.203 0.204 0.244 0.191
926.765 0.456 0.205 0.388 0.190
926.897 0.497 0.204 0.286 0.187
927.028 0.182 0.200 0.204 0.186
927.160 0.097 0.198 0.309 0.186
927.292 0.428 0.201 0.381 0.186
927.424 0.343 0.199 0.055 0.184
927.555 0.060 0.196 0.072 0.183
927.687 0.246 0.195 0.394 0.185
927.819 0.106 0.194 0.264 0.183
927.950 0.408 0.195 0.154 0.182
928.082 0.213 0.194 -0.151 0.179
928.214 -0.212 0.191 -0.415 0.178
928.346 0.427 0.196 0.104 0.181
928.477 0.329 0.194 0.112 0.179
928.609 0.252 0.193 0.060 0.178
928.741 0.325 0.193 0.456 0.180
928.872 0.143 0.190 0.043 0.176
929.004 0.105 0.188 -0.106 0.174
929.136 -0.410 0.184 0.013 0.174
929.268 -0.067 0.187 0.010 0.174
929.399 0.440 0.191 0.003 0.175
929.531 -0.056 0.186 -0.308 0.172
929.663 -0.214 0.184 0.193 0.174
929.795 -0.175 0.184 0.179 0.173
929.926 0.066 0.185 0.149 0.172
930.058 -0.052 0.184 -0.047 0.171
930.190 0.082 0.186 -0.033 0.170
930.321 0.299 0.187 -0.063 0.172
930.453 -0.057 0.184 0.078 0.172
930.585 -0.115 0.183 0.207 0.172
930.717 -0.323 0.179 -0.046 0.168
930.848 0.106 0.181 -0.150 0.167
930.980 -0.150 0.179 0.090 0.168
931.112 0.091 0.181 0.013 0.168
931.243 0.095 0.181 0.353 0.170
931.375 0.102 0.180 0.092 0.168
931.507 0.305 0.181 -0.109 0.166
931.639 0.216 0.181 0.096 0.167
931.770 0.084 0.179 -0.057 0.166
931.902 0.287 0.180 -0.055 0.165
932.034 0.281 0.181 -0.032 0.165
932.165 0.003 0.179 -0.015 0.165
932.297 -0.127 0.177 -0.044 0.164
932.429 -0.127 0.177 -0.114 0.165
932.561 0.150 0.181 0.048 0.166
932.692 -0.286 0.178 -0.013 0.167
932.824 0.344 0.184 0.150 0.169
932.956 0.357 0.185 0.202 0.171
933.087 0.540 0.187 0.477 0.173
933.219 0.747 0.189 0.683 0.173
933.351 0.744 0.192 0.878 0.175
933.483 0.647 0.194 0.852 0.178
933.614 0.818 0.195 0.695 0.177
933.746 0.672 0.192 0.805 0.177
933.878 0.445 0.190 0.622 0.175
934.009 0.350 0.190 0.238 0.173
934.141 0.486 0.188 0.093 0.169
934.273 0.244 0.184 0.282 0.168
934.405 -0.028 0.180 0.324 0.167
934.536 -0.275 0.179 0.221 0.167
934.668 0.108 0.181 0.109 0.166
934.800 0.655 0.185 0.197 0.165
934.932 0.358 0.181 0.905 0.167
935.063 0.375 0.179 0.465 0.163
935.195 0.291 0.178 0.272 0.161
935.327 0.245 0.176 0.079 0.159
935.458 0.291 0.175 0.036 0.158
935.590 0.533 0.177 -0.082 0.157
935.722 0.510 0.176 -0.044 0.156
935.854 0.264 0.173 -0.100 0.155
935.985 0.305 0.173 0.217 0.156
936.117 0.156 0.173 0.028 0.163
936.249 0.125 0.174 0.154 0.160
936.380 0.299 0.175 0.185 0.159
936.512 0.016 0.174 0.268 0.160
936.644 0.099 0.174 -0.045 0.159
936.776 0.154 0.172 -0.029 0.158
936.907 -0.114 0.168 0.104 0.154
937.039 -0.012 0.167 -0.351 0.150
937.171 0.236 0.167 -0.284 0.150
937.302 0.146 0.165 -0.017 0.149
937.434 -0.020 0.164 0.049 0.149
937.566 -0.111 0.165 0.245 0.152
937.698 -0.097 0.166 0.374 0.153
937.829 0.196 0.166 0.190 0.150
937.961 -0.129 0.159 -0.039 0.145
938.093 -0.083 0.156 0.162 0.143
938.224 0.126 0.158 0.006 0.143
938.356 0.318 0.163 -0.119 0.145
938.488 0.083 0.162 -0.058 0.145
938.620 -0.049 0.157 0.136 0.144
938.751 0.067 0.156 0.099 0.141
938.883 0.035 0.155 -0.018 0.141
939.015 0.284 0.158 0.136 0.143
939.146 0.457 0.161 0.695 0.147
939.278 0.135 0.159 0.857 0.148
939.410 0.267 0.157 0.569 0.143
939.542 0.582 0.155 0.362 0.140
939.673 0.835 0.156 0.619 0.141
939.805 0.627 0.155 1.062 0.147
939.937 0.403 0.155 0.481 0.179
940.068 0.656 0.158 0.634 0.148
940.200 0.733 0.159 0.539 0.114
940.332 0.610 0.158 0.553 0.144
940.464 0.553 0.156 0.577 0.139
940.595 0.797 0.155 0.874 0.141
940.727 0.790 0.154 0.741 0.139
940.859 0.553 0.151 0.541 0.138
940.991 0.788 0.152 0.697 0.137
941.122 0.879 0.152 0.635 0.136
941.254 0.725 0.153 0.574 0.137
941.386 0.667 0.155 0.625 0.140
941.517 0.542 0.154 0.926 0.142
941.649 0.465 0.152 0.819 0.139
941.781 0.415 0.149 0.587 0.135
941.913 0.347 0.148 0.717 0.135
942.044 0.267 0.146 0.507 0.133
942.176 0.206 0.259 0.319 0.132
942.308 0.133 0.175 0.584 0.134
942.439 0.231 0.141 0.584 0.136
942.571 0.496 0.149 0.793 0.138
942.703 0.535 0.149 0.569 0.136
942.835 0.614 0.149 0.687 0.135
942.966 0.352 0.146 0.648 0.134
943.098 0.702 0.148 0.783 0.134
943.230 0.759 0.148 0.823 0.133
943.361 0.588 0.145 0.551 0.130
943.493 0.563 0.144 0.649 0.130
943.625 0.770 0.145 0.806 0.129
943.757 0.759 0.145 0.617 0.128
943.888 0.472 0.143 0.715 0.131
944.020 0.582 0.145 0.493 0.131
944.152 0.544 0.145 0.930 0.134
944.283 0.724 0.146 0.792 0.132
944.415 0.736 0.144 0.631 0.129
944.547 0.717 0.141 0.460 0.125
944.679 0.411 0.138 0.600 0.126
944.810 0.259 0.137 0.460 0.125
944.942 0.523 0.139 0.728 0.126
945.074 0.604 0.140 0.627 0.126
945.205 0.612 0.140 0.595 0.125
945.337 0.695 0.140 0.739 0.126
945.469 0.751 0.140 1.001 0.127
945.601 0.739 0.140 0.760 0.125
945.732 0.516 0.138 0.588 0.124
945.864 0.697 0.140 0.532 0.124
945.996 0.619 0.139 0.709 0.125
946.128 0.306 0.138 0.556 0.124
946.259 0.589 0.140 0.481 0.123
946.391 0.576 0.138 0.444 0.123
946.523 0.685 0.138 0.710 0.124
946.654 0.415 0.135 0.602 0.123
946.786 0.320 0.135 0.515 0.122
946.918 0.537 0.137 0.447 0.124
947.050 0.468 0.136 0.515 0.128
947.181 0.425 0.135 0.673 0.125
947.313 0.513 0.136 0.203 0.120
947.445 0.353 0.134 0.379 0.120
947.576 0.367 0.134 0.490 0.120
947.708 0.153 0.132 0.063 0.118
947.840 0.169 0.131 0.064 0.117
947.972 0.274 0.131 0.197 0.117
948.103 0.129 0.129 0.154 0.116
948.235 -0.001 0.129 0.198 0.117
948.367 0.012 0.129 0.148 0.117
948.498 -0.102 0.128 -0.072 0.115
948.630 0.009 0.128 0.160 0.116
948.762 -0.086 0.127 0.229 0.116
948.894 -0.056 0.126 0.128 0.115
949.025 -0.209 0.124 0.047 0.113
949.157 0.038 0.126 0.112 0.114
949.289 0.212 0.127 -0.007 0.113
949.420 0.119 0.126 -0.026 0.112
949.552 0.326 0.128 0.002 0.112
949.684 -0.010 0.124 -0.026 0.111
949.816 -0.112 0.123 -0.080 0.110
949.947 -0.171 0.122 -0.115 0.109
950.079 -0.089 0.123 -0.027 0.110
950.211 0.147 0.124 0.004 0.110
950.342 0.061 0.123 0.132 0.110
950.474 0.152 0.123 0.302 0.111
950.606 0.070 0.122 0.167 0.110
950.738 0.192 0.122 0.281 0.110
950.869 0.088 0.121 0.161 0.109
951.001 0.278 0.122 0.375 0.110
951.133 0.152 0.122 0.343 0.109
951.264 0.158 0.122 0.334 0.109
951.396 0.345 0.123 0.626 0.111
951.528 0.271 0.124 0.728 0.112
951.660 0.261 0.125 0.617 0.111
951.791 0.285 0.122 0.734 0.111
951.923 0.549 0.123 0.458 0.110
952.055 0.813 0.124 0.620 0.111
952.187 0.670 0.123 0.506 0.111
952.318 0.283 0.121 0.488 0.110
952.450 0.506 0.123 0.555 0.110
952.582 0.711 0.126 0.602 0.111
952.713 0.337 0.125 0.681 0.114
952.845 0.445 0.128 0.469 0.114
952.977 0.489 0.129 0.686 0.116
953.109 0.433 0.128 0.637 0.116
953.240 0.212 0.126 0.400 0.113
953.372 0.352 0.125 0.350 0.112
953.504 0.525 0.126 0.610 0.113
