# restwave bluenorm blueerr rednorm rederr
993.678 0.291 0.074 0.302 0.066
993.809 0.159 0.073 0.149 0.065
993.941 0.053 0.073 0.049 0.064
994.073 0.065 0.074 0.059 0.065
994.204 0.069 0.074 0.259 0.067
994.336 0.059 0.074 0.271 0.067
994.468 0.269 0.075 0.374 0.066
994.600 0.438 0.076 0.496 0.067
994.731 0.381 0.075 0.545 0.067
994.863 0.429 0.076 0.604 0.068
994.995 0.478 0.076 0.605 0.068
995.126 0.480 0.077 0.586 0.067
995.258 0.706 0.078 0.643 0.067
995.390 0.531 0.078 0.624 0.068
995.522 0.385 0.077 0.642 0.068
995.653 0.441 0.077 0.612 0.068
995.785 0.424 0.076 0.579 0.067
995.917 0.566 0.076 0.645 0.068
996.048 0.528 0.075 0.766 0.068
996.180 0.600 0.076 0.786 0.068
996.312 0.783 0.077 0.706 0.068
996.444 0.763 0.077 0.863 0.070
996.575 0.698 0.076 0.947 0.070
996.707 0.588 0.075 0.692 0.067
996.839 0.385 0.073 0.514 0.065
996.970 0.300 0.072 0.449 0.065
997.102 0.319 0.073 0.425 0.065
997.234 0.454 0.075 0.581 0.067
997.366 0.556 0.077 0.672 0.068
997.497 0.653 0.077 0.709 0.068
997.629 0.617 0.076 0.815 0.067
997.761 0.624 0.074 0.791 0.066
997.893 0.574 0.073 0.811 0.065
998.024 0.678 0.074 0.876 0.065
998.156 0.787 0.074 0.873 0.065
998.288 0.822 0.073 0.915 0.065
998.419 0.761 0.073 0.911 0.065
998.551 0.757 0.073 0.944 0.067
998.683 0.729 0.074 1.034 0.068
998.815 0.753 0.075 0.987 0.067
998.946 0.787 0.075 0.976 0.067
999.078 1.009 0.077 1.014 0.067
999.210 0.871 0.076 1.015 0.067
999.341 0.801 0.076 0.970 0.067
999.473 0.856 0.076 0.946 0.067
999.605 0.665 0.074 0.796 0.066
999.737 0.538 0.072 0.578 0.064
999.868 0.498 0.072 0.629 0.064
1000.000 0.469 0.072 0.639 0.065
1000.132 0.574 0.073 0.574 0.064
1000.263 0.651 0.073 0.765 0.065
1000.395 0.818 0.074 0.949 0.066
1000.527 0.853 0.073 0.930 0.065
1000.659 0.788 0.072 0.927 0.064
1000.790 0.722 0.071 0.677 0.062
1000.922 0.696 0.070 0.747 0.062
1001.054 0.581 0.070 0.633 0.062
1001.185 0.423 0.069 0.374 0.061
1001.317 0.361 0.069 0.344 0.062
1001.449 0.586 0.071 0.652 0.064
1001.581 0.797 0.073 0.801 0.065
1001.712 0.866 0.074 0.907 0.065
1001.844 0.760 0.072 1.003 0.065
1001.976 0.687 0.071 0.922 0.064
1002.107 0.688 0.070 0.866 0.063
1002.239 0.686 0.070 0.776 0.062
1002.371 0.634 0.070 0.723 0.062
1002.503 0.716 0.071 0.803 0.063
1002.634 0.734 0.072 0.784 0.063
1002.766 0.767 0.072 0.641 0.062
1002.898 0.765 0.071 0.692 0.062
1003.030 0.768 0.071 0.838 0.063
1003.161 0.718 0.070 1.017 0.064
1003.293 0.850 0.071 0.788 0.062
1003.425 0.864 0.071 0.894 0.063
1003.556 0.899 0.072 0.937 0.063
1003.688 0.805 0.071 0.814 0.062
1003.820 0.841 0.071 0.799 0.062
1003.952 0.905 0.071 0.742 0.062
1004.083 0.897 0.072 0.840 0.063
1004.215 0.871 0.071 0.857 0.063
1004.347 0.841 0.071 0.875 0.063
1004.478 0.763 0.070 0.890 0.063
1004.610 0.804 0.071 0.817 0.063
1004.742 0.741 0.071 0.992 0.064
1004.874 0.877 0.073 0.922 0.065
1005.005 0.787 0.072 0.714 0.064
1005.137 0.630 0.071 0.659 0.063
1005.269 0.634 0.071 0.644 0.062
1005.400 0.604 0.070 0.756 0.062
1005.532 0.652 0.070 0.764 0.062
1005.664 0.714 0.070 0.648 0.061
1005.796 0.677 0.070 0.652 0.061
1005.927 0.690 0.070 0.767 0.062
1006.059 0.562 0.070 0.739 0.062
1006.191 0.708 0.071 0.706 0.062
1006.322 0.626 0.070 0.715 0.062
1006.454 0.617 0.069 0.778 0.061
1006.586 0.708 0.069 0.698 0.060
1006.718 0.537 0.067 0.677 0.060
1006.849 0.634 0.068 0.740 0.060
1006.981 0.619 0.068 0.768 0.060
1007.113 0.621 0.068 0.685 0.060
1007.244 0.701 0.069 0.775 0.061
1007.376 0.763 0.069 0.837 0.061
1007.508 0.871 0.070 0.802 0.061
1007.640 0.851 0.069 0.908 0.061
1007.771 0.823 0.068 0.879 0.060
1007.903 0.880 0.068 0.877 0.059
1008.035 0.856 0.067 0.942 0.059
1008.166 0.852 0.067 0.897 0.059
1008.298 0.827 0.067 0.849 0.059
1008.430 0.692 0.066 0.892 0.059
1008.562 0.654 0.066 0.799 0.059
1008.693 0.684 0.067 0.712 0.059
1008.825 0.669 0.068 0.772 0.060
1008.957 0.768 0.070 0.890 0.062
1009.089 0.801 0.071 0.921 0.063
1009.220 0.642 0.070 0.834 0.063
1009.352 0.568 0.070 0.808 0.063
1009.484 0.603 0.071 0.710 0.063
1009.615 0.623 0.071 0.758 0.063
1009.747 0.696 0.071 0.771 0.062
1009.879 0.551 0.070 0.722 0.062
1010.011 0.428 0.069 0.511 0.061
1010.142 0.375 0.068 0.392 0.060
1010.274 0.189 0.066 0.252 0.058
1010.406 0.233 0.065 0.303 0.058
1010.537 0.183 0.066 0.243 0.058
1010.669 0.423 0.068 0.479 0.060
1010.801 0.504 0.067 0.590 0.059
1010.933 0.656 0.067 0.599 0.058
1011.064 0.605 0.066 0.560 0.058
1011.196 0.583 0.066 0.585 0.058
1011.328 0.679 0.067 0.686 0.059
1011.459 0.517 0.066 0.755 0.059
1011.591 0.427 0.064 0.561 0.057
1011.723 0.424 0.063 0.443 0.056
1011.855 0.518 0.063 0.526 0.055
1011.986 0.621 0.064 0.669 0.056
1012.118 0.598 0.065 0.615 0.057
1012.250 0.589 0.066 0.720 0.059
1012.381 0.569 0.067 0.718 0.059
1012.513 0.502 0.066 0.590 0.058
1012.645 0.605 0.066 0.661 0.058
1012.777 0.570 0.065 0.634 0.058
1012.908 0.683 0.066 0.635 0.057
1013.040 0.668 0.066 0.673 0.058
1013.172 0.671 0.066 0.772 0.059
1013.303 0.708 0.068 0.877 0.060
1013.435 0.687 0.068 0.932 0.061
1013.567 0.763 0.068 1.001 0.061
1013.699 1.060 0.068 0.947 0.059
1013.830 0.941 0.067 1.045 0.059
1013.962 0.953 0.067 0.954 0.058
1014.094 0.836 0.066 0.894 0.058
1014.226 0.820 0.065 0.890 0.057
1014.357 0.740 0.065 0.862 0.057
1014.489 0.616 0.064 0.789 0.057
1014.621 0.648 0.065 0.773 0.057
1014.752 0.714 0.066 0.695 0.057
1014.884 0.593 0.064 0.765 0.057
1015.016 0.692 0.064 0.768 0.056
1015.148 0.696 0.064 0.785 0.056
1015.279 0.686 0.064 0.794 0.056
1015.411 0.760 0.064 0.794 0.056
1015.543 0.726 0.064 0.712 0.056
1015.674 0.666 0.063 0.722 0.055
1015.806 0.722 0.063 0.813 0.056
1015.938 0.752 0.064 0.904 0.056
1016.070 0.729 0.064 0.791 0.056
1016.201 0.740 0.064 0.703 0.055
1016.333 0.701 0.063 0.787 0.055
1016.465 0.677 0.063 0.831 0.055
1016.596 0.783 0.063 0.844 0.055
1016.728 0.756 0.062 0.764 0.054
1016.860 0.754 0.062 0.755 0.054
1016.992 0.792 0.061 0.861 0.054
1017.123 0.686 0.061 0.828 0.054
1017.255 0.678 0.060 0.680 0.053
1017.387 0.755 0.062 0.716 0.054
1017.518 0.720 0.063 0.857 0.055
1017.650 0.869 0.064 0.710 0.055
1017.782 0.758 0.064 0.687 0.055
1017.914 0.687 0.063 0.766 0.055
1018.045 0.631 0.062 0.657 0.054
1018.177 0.624 0.062 0.726 0.055
1018.309 0.641 0.062 0.837 0.055
1018.440 0.555 0.061 0.762 0.055
1018.572 0.499 0.061 0.508 0.053
1018.704 0.422 0.060 0.374 0.052
1018.836 0.228 0.058 0.229 0.051
1018.967 0.181 0.058 0.167 0.051
1019.099 0.192 0.058 0.096 0.050
1019.231 0.215 0.059 0.074 0.050
1019.362 0.235 0.059 0.172 0.051
1019.494 0.304 0.059 0.307 0.052
1019.626 0.503 0.060 0.469 0.052
1019.758 0.494 0.059 0.593 0.052
1019.889 0.461 0.058 0.498 0.051
1020.021 0.434 0.058 0.498 0.051
1020.153 0.275 0.057 0.491 0.051
1020.285 0.295 0.056 0.373 0.050
1020.416 0.080 0.055 0.154 0.048
1020.548 -0.022 0.054 0.075 0.048
1020.680 0.054 0.055 0.016 0.048
1020.811 0.027 0.055 0.070 0.048
1020.943 0.063 0.056 0.124 0.049
1021.075 0.095 0.057 0.281 0.050
1021.207 0.212 0.058 0.359 0.051
1021.338 0.257 0.058 0.356 0.051
1021.470 0.099 0.057 0.359 0.051
1021.602 0.126 0.056 0.206 0.050
1021.733 0.127 0.056 0.118 0.049
1021.865 -0.020 0.054 0.057 0.048
1021.997 -0.160 0.053 0.000 0.049
1022.129 -0.053 0.054 0.005 0.048
1022.260 -0.107 0.054 -0.053 0.047
1022.392 0.043 0.055 0.002 0.048
1022.524 0.269 0.057 0.188 0.049
1022.655 0.253 0.056 0.219 0.049
1022.787 0.261 0.056 0.320 0.049
1022.919 0.325 0.057 0.400 0.049
1023.051 0.268 0.056 0.276 0.048
1023.182 0.240 0.055 0.278 0.048
1023.314 0.136 0.055 0.300 0.049
1023.446 0.089 0.055 0.165 0.048
1023.577 0.078 0.055 0.108 0.048
1023.709 -0.018 0.054 0.018 0.048
1023.841 0.003 0.054 0.080 0.048
1023.973 -0.010 0.053 0.160 0.047
1024.104 0.009 0.053 0.061 0.047
1024.236 -0.045 0.053 0.028 0.046
1024.368 -0.029 0.053 0.050 0.047
1024.499 0.022 0.053 -0.030 0.046
1024.631 -0.029 0.053 -0.012 0.046
1024.763 -0.059 0.053 0.055 0.046
1024.895 0.004 0.053 -0.001 0.046
1025.026 0.071 0.053 0.008 0.046
1025.158 -0.018 0.054 -0.026 0.047
1025.290 0.025 0.055 0.062 0.047
1025.421 0.104 0.055 0.100 0.048
1025.553 -0.036 0.054 0.123 0.048
1025.685 0.045 0.054 0.076 0.048
1025.817 0.095 0.055 0.003 0.048
1025.948 0.025 0.054 0.029 0.047
1026.080 -0.061 0.054 0.002 0.047
1026.212 0.034 0.054 -0.011 0.047
1026.344 -0.009 0.054 0.063 0.048
1026.475 -0.031 0.054 0.146 0.049
1026.607 0.021 0.055 0.193 0.050
1026.739 0.154 0.057 0.237 0.051
1026.870 0.155 0.056 0.274 0.050
1027.002 0.092 0.055 0.176 0.049
1027.134 0.150 0.056 0.351 0.050
1027.266 0.127 0.056 0.302 0.049
1027.397 0.184 0.056 0.278 0.049
1027.529 0.278 0.057 0.483 0.050
1027.661 0.228 0.056 0.448 0.050
1027.792 0.280 0.056 0.303 0.049
1027.924 0.305 0.057 0.453 0.050
1028.056 0.332 0.057 0.446 0.050
1028.188 0.219 0.057 0.488 0.051
1028.319 0.243 0.057 0.558 0.051
1028.451 0.288 0.057 0.487 0.050
1028.583 0.366 0.057 0.414 0.050
1028.714 0.358 0.057 0.464 0.050
1028.846 0.399 0.058 0.520 0.051
1028.978 0.407 0.060 0.550 0.053
1029.110 0.398 0.060 0.435 0.052
1029.241 0.373 0.059 0.469 0.052
1029.373 0.395 0.060 0.519 0.053
1029.505 0.355 0.060 0.376 0.052
1029.636 0.414 0.060 0.334 0.052
1029.768 0.210 0.059 0.261 0.052
1029.900 0.107 0.059 0.043 0.051
1030.032 0.070 0.058 0.073 0.051
1030.163 0.209 0.059 0.166 0.051
1030.295 0.324 0.060 0.200 0.051
1030.427 0.278 0.060 0.307 0.052
1030.558 0.240 0.059 0.342 0.052
1030.690 0.206 0.058 0.333 0.051
1030.822 0.282 0.059 0.360 0.051
1030.954 0.346 0.060 0.341 0.051
1031.085 0.228 0.060 0.229 0.051
1031.217 0.220 0.059 0.083 0.050
1031.349 0.071 0.057 0.157 0.050
1031.481 0.043 0.057 0.240 0.050
1031.612 0.031 0.056 0.267 0.050
1031.744 0.063 0.056 0.344 0.050
1031.876 0.206 0.057 0.317 0.050
1032.007 0.133 0.056 0.228 0.049
1032.139 0.211 0.056 0.394 0.050
1032.271 0.425 0.057 0.583 0.051
1032.403 0.431 0.058 0.622 0.051
1032.534 0.393 0.058 0.649 0.052
1032.666 0.544 0.058 0.631 0.051
1032.798 0.631 0.058 0.599 0.050
1032.929 0.548 0.057 0.662 0.050
1033.061 0.598 0.057 0.772 0.050
1033.193 0.802 0.058 0.787 0.050
1033.325 0.634 0.057 0.757 0.050
1033.456 0.593 0.057 0.672 0.049
1033.588 0.660 0.058 0.606 0.049
1033.720 0.589 0.057 0.528 0.049
1033.851 0.588 0.057 0.414 0.048
1033.983 0.442 0.056 0.429 0.048
1034.115 0.388 0.055 0.350 0.048
1034.247 0.340 0.055 0.223 0.047
1034.378 0.328 0.054 0.142 0.046
1034.510 0.252 0.054 0.291 0.047
1034.642 0.245 0.053 0.323 0.047
1034.773 0.204 0.053 0.227 0.046
1034.905 0.138 0.052 0.169 0.046
1035.037 0.187 0.052 0.209 0.046
1035.169 0.096 0.052 0.096 0.045
1035.300 0.003 0.050 0.036 0.044
1035.432 -0.023 0.050 0.107 0.044
1035.564 -0.030 0.050 0.029 0.044
1035.695 0.074 0.050 0.047 0.044
1035.827 0.157 0.051 0.026 0.044
1035.959 0.160 0.051 0.160 0.045
1036.091 0.018 0.052 0.092 0.044
1036.222 -0.025 0.051 0.001 0.044
1036.354 -0.049 0.050 0.039 0.043
1036.486 -0.060 0.048 0.015 0.043
1036.617 0.059 0.049 0.083 0.044
1036.749 -0.016 0.049 0.063 0.044
1036.881 -0.057 0.049 0.085 0.044
1037.013 0.083 0.050 0.242 0.045
1037.144 0.070 0.050 0.339 0.045
1037.276 0.193 0.051 0.228 0.045
1037.408 0.195 0.051 0.297 0.045
1037.540 0.233 0.052 0.464 0.046
1037.671 0.249 0.052 0.517 0.047
1037.803 0.386 0.054 0.521 0.047
1037.935 0.425 0.054 0.739 0.049
1038.066 0.462 0.056 0.824 0.050
1038.198 0.602 0.057 0.748 0.050
1038.330 0.732 0.059 0.696 0.051
1038.462 0.675 0.058 0.663 0.051
1038.593 0.655 0.058 0.658 0.050
1038.725 0.689 0.058 0.676 0.050
1038.857 0.545 0.057 0.655 0.050
1038.988 0.522 0.058 0.580 0.050
1039.120 0.407 0.057 0.553 0.050
1039.252 0.368 0.056 0.566 0.050
1039.384 0.401 0.055 0.555 0.049
1039.515 0.290 0.054 0.560 0.049
1039.647 0.183 0.054 0.442 0.049
1039.779 0.227 0.056 0.431 0.049
1039.910 0.308 0.056 0.501 0.049
1040.042 0.420 0.056 0.633 0.050
1040.174 0.607 0.057 0.852 0.051
1040.306 0.722 0.058 1.068 0.052
1040.437 0.771 0.058 1.080 0.052
1040.569 0.797 0.058 0.981 0.051
1040.701 0.899 0.059 0.988 0.051
1040.832 0.870 0.058 1.003 0.051
1040.964 0.734 0.057 0.911 0.050
1041.096 0.607 0.056 0.673 0.049
1041.228 0.437 0.055 0.544 0.049
1041.359 0.506 0.057 0.561 0.049
1041.491 0.523 0.057 0.492 0.049
1041.623 0.506 0.056 0.634 0.049
1041.754 0.600 0.056 0.685 0.049
1041.886 0.732 0.056 0.794 0.049
1042.018 0.778 0.057 0.791 0.049
1042.150 0.614 0.056 0.765 0.049
1042.281 0.377 0.055 0.490 0.048
1042.413 0.230 0.054 0.326 0.047
1042.545 0.230 0.053 0.285 0.047
1042.677 0.079 0.052 0.231 0.046
1042.808 0.100 0.052 0.144 0.045
1042.940 0.270 0.053 0.134 0.045
1043.072 0.400 0.053 0.368 0.046
1043.203 0.604 0.055 0.725 0.048
1043.335 0.864 0.056 1.014 0.049
1043.467 1.005 0.057 1.048 0.050
1043.599 1.086 0.058 1.069 0.050
1043.730 1.008 0.057 1.155 0.050
1043.862 1.145 0.058 1.162 0.050
1043.994 1.138 0.057 1.044 0.049
1044.125 0.886 0.055 0.866 0.047
1044.257 0.586 0.052 0.660 0.046
1044.389 0.313 0.051 0.406 0.044
1044.521 0.220 0.050 0.180 0.043
1044.652 0.253 0.050 0.111 0.042
1044.784 0.131 0.049 0.158 0.043
1044.916 0.243 0.050 0.239 0.043
1045.047 0.321 0.050 0.372 0.044
1045.179 0.376 0.050 0.475 0.044
1045.311 0.522 0.050 0.611 0.044
1045.443 0.737 0.051 0.762 0.044
1045.574 0.825 0.051 0.877 0.045
1045.706 0.832 0.051 0.952 0.045
1045.838 0.905 0.051 0.888 0.044
1045.969 0.702 0.050 0.859 0.044
1046.101 0.636 0.050 0.809 0.044
1046.233 0.555 0.050 0.592 0.043
1046.365 0.577 0.050 0.622 0.044
1046.496 0.779 0.052 0.758 0.045
1046.628 0.801 0.052 0.927 0.046
1046.760 1.000 0.053 0.991 0.046
1046.891 1.013 0.054 1.034 0.046
1047.023 0.935 0.053 1.027 0.047
1047.155 0.942 0.054 1.108 0.048
1047.287 0.996 0.055 0.979 0.047
1047.418 1.007 0.055 0.926 0.047
1047.550 0.968 0.056 1.041 0.048
1047.682 0.884 0.055 0.949 0.048
1047.813 0.892 0.055 0.975 0.048
1047.945 0.810 0.054 0.908 0.049
1048.077 0.830 0.055 0.939 0.049
1048.209 0.808 0.055 0.985 0.049
1048.340 0.750 0.055 0.905 0.048
1048.472 0.816 0.055 0.928 0.048
1048.604 0.820 0.054 0.972 0.048
1048.736 0.683 0.054 1.004 0.048
1048.867 0.723 0.055 1.030 0.049
1048.999 0.755 0.055 1.066 0.049
1049.131 0.821 0.056 1.107 0.049
1049.262 0.931 0.056 1.096 0.049
1049.394 0.993 0.056 1.068 0.049
1049.526 0.952 0.055 1.129 0.049
1049.658 0.948 0.055 1.103 0.049
1049.789 0.971 0.056 1.042 0.050
1049.921 0.990 0.056 1.022 0.049
1050.053 0.881 0.056 0.960 0.049
1050.184 0.803 0.055 0.849 0.048
1050.316 0.779 0.054 0.906 0.047
1050.448 0.865 0.054 0.879 0.047
1050.580 0.931 0.054 0.968 0.047
1050.711 0.898 0.054 1.004 0.047
1050.843 0.941 0.055 1.017 0.048
1050.975 1.004 0.056 0.947 0.048
1051.106 0.912 0.056 0.859 0.048
1051.238 0.811 0.056 0.809 0.048
1051.370 0.743 0.055 0.717 0.047
1051.502 0.846 0.054 0.639 0.046
1051.633 0.826 0.054 0.745 0.047
1051.765 0.850 0.054 0.897 0.047
1051.897 0.977 0.055 0.963 0.047
1052.028 0.924 0.055 1.049 0.048
1052.160 1.012 0.056 1.078 0.048
1052.292 1.060 0.057 1.046 0.049
1052.424 0.971 0.056 0.951 0.048
1052.555 0.951 0.055 0.993 0.048
1052.687 0.902 0.054 1.115 0.048
1052.819 1.046 0.055 0.997 0.047
1052.950 1.087 0.055 0.878 0.047
1053.082 1.062 0.055 1.009 0.047
1053.214 1.018 0.055 1.078 0.048
1053.346 1.032 0.055 1.059 0.047
1053.477 1.025 0.055 1.000 0.047
1053.609 0.989 0.055 0.971 0.047
1053.741 0.990 0.056 0.939 0.047
1053.872 0.925 0.056 0.918 0.048
1054.004 1.080 0.057 0.955 0.048
1054.136 1.100 0.057 0.960 0.049
1054.268 0.888 0.055 0.966 0.048
1054.399 0.898 0.054 0.982 0.048
1054.531 0.987 0.055 0.945 0.047
1054.663 0.911 0.054 1.013 0.047
1054.795 0.841 0.054 0.902 0.047
1054.926 0.730 0.054 0.852 0.047
1055.058 0.739 0.054 0.874 0.048
1055.190 0.939 0.055 0.890 0.048
1055.321 0.908 0.054 0.936 0.048
1055.453 0.856 0.054 1.043 0.047
1055.585 0.810 0.053 0.984 0.048
1055.717 0.876 0.054 0.915 0.048
1055.848 0.958 0.055 0.947 0.048
1055.980 0.978 0.055 0.916 0.047
1056.112 0.795 0.055 0.875 0.048
1056.243 0.806 0.055 1.018 0.049
1056.375 0.838 0.056 0.935 0.048
1056.507 0.751 0.055 0.851 0.048
1056.639 0.818 0.056 0.880 0.048
1056.770 0.824 0.055 0.846 0.048
1056.902 0.827 0.055 0.911 0.048
1057.034 0.758 0.055 0.897 0.048
1057.165 0.754 0.055 0.793 0.047
1057.297 0.840 0.055 0.811 0.047
1057.429 0.984 0.056 0.922 0.048
1057.561 0.979 0.056 1.014 0.048
1057.692 1.018 0.056 1.011 0.048
1057.824 1.035 0.056 1.019 0.048
1057.956 0.936 0.055 1.075 0.048
1058.087 1.090 0.056 1.144 0.048
1058.219 1.149 0.056 1.124 0.048
1058.351 1.104 0.056 0.971 0.047
1058.483 1.048 0.055 1.052 0.048
1058.614 1.060 0.055 1.044 0.047
1058.746 1.001 0.054 0.931 0.046
1058.878 0.986 0.054 0.998 0.046
1059.009 1.016 0.054 0.992 0.046
1059.141 1.049 0.055 1.032 0.047
1059.273 1.012 0.055 1.004 0.047
1059.405 0.978 0.055 0.955 0.047
1059.536 1.051 0.055 0.974 0.047
1059.668 0.955 0.055 1.027 0.047
1059.800 0.904 0.054 1.018 0.047
1059.932 0.943 0.054 0.949 0.047
1060.063 0.925 0.054 0.969 0.047
1060.195 0.919 0.054 1.021 0.047
1060.327 0.852 0.054 0.968 0.047
1060.458 0.908 0.054 0.902 0.046
1060.590 0.983 0.054 0.894 0.046
1060.722 0.949 0.054 0.917 0.047
1060.854 0.900 0.054 0.861 0.046
1060.985 0.797 0.054 0.849 0.046
1061.117 0.660 0.053 0.765 0.046
1061.249 0.723 0.053 0.687 0.045
1061.380 0.685 0.052 0.682 0.045
1061.512 0.700 0.053 0.616 0.045
1061.644 0.597 0.053 0.614 0.045
1061.776 0.559 0.053 0.539 0.045
1061.907 0.604 0.052 0.552 0.045
1062.039 0.624 0.051 0.598 0.044
1062.171 0.557 0.050 0.609 0.044
1062.302 0.522 0.050 0.598 0.043
1062.434 0.622 0.051 0.598 0.044
1062.566 0.540 0.051 0.658 0.044
1062.698 0.481 0.050 0.639 0.044
1062.829 0.487 0.050 0.539 0.044
1062.961 0.576 0.051 0.557 0.044
1063.093 0.492 0.050 0.615 0.045
1063.224 0.416 0.050 0.638 0.045
1063.356 0.476 0.050 0.597 0.044
1063.488 0.401 0.050 0.655 0.044
1063.620 0.476 0.050 0.757 0.045
1063.751 0.482 0.051 0.759 0.045
1063.883 0.504 0.051 0.784 0.046
1064.015 0.548 0.052 0.875 0.046
1064.146 0.666 0.053 0.926 0.047
1064.278 0.730 0.053 1.029 0.047
1064.410 0.873 0.054 1.008 0.047
1064.542 0.866 0.054 0.998 0.047
1064.673 0.893 0.054 0.966 0.047
1064.805 0.886 0.054 0.969 0.047
1064.937 0.900 0.055 1.010 0.047
1065.068 0.935 0.055 1.131 0.048
1065.200 0.911 0.055 1.107 0.048
1065.332 0.906 0.055 0.972 0.048
1065.464 0.955 0.055 0.920 0.047
1065.595 0.865 0.055 0.981 0.047
1065.727 0.726 0.054 0.868 0.047
1065.859 0.670 0.053 0.808 0.046
1065.991 0.725 0.053 0.748 0.046
1066.122 0.570 0.051 0.640 0.045
1066.254 0.597 0.051 0.633 0.044
1066.386 0.602 0.052 0.732 0.046
1066.517 0.588 0.053 0.598 0.046
1066.649 0.606 0.054 0.481 0.046
1066.781 0.573 0.053 0.535 0.046
1066.913 0.593 0.053 0.651 0.046
1067.044 0.635 0.052 0.723 0.046
1067.176 0.748 0.053 0.773 0.046
1067.308 0.906 0.054 0.763 0.047
1067.439 0.793 0.054 0.814 0.047
1067.571 0.759 0.054 0.852 0.047
1067.703 0.882 0.054 0.840 0.046
1067.835 0.908 0.053 0.864 0.046
1067.966 0.921 0.052 0.891 0.045
1068.098 1.000 0.053 1.012 0.046
1068.230 0.986 0.053 0.989 0.046
1068.361 0.858 0.054 0.915 0.046
1068.493 0.805 0.054 0.955 0.046
1068.625 0.970 0.054 1.006 0.046
1068.757 1.016 0.053 0.977 0.046
1068.888 1.056 0.053 0.959 0.045
1069.020 1.036 0.053 0.889 0.045
1069.152 1.007 0.052 0.885 0.045
1069.283 0.934 0.052 0.832 0.044
1069.415 0.815 0.051 0.741 0.044
1069.547 0.808 0.052 0.765 0.045
1069.679 0.788 0.053 0.761 0.045
1069.810 0.783 0.053 0.749 0.045
1069.942 0.845 0.053 0.722 0.045
1070.074 0.793 0.053 0.815 0.046
1070.205 0.717 0.052 0.877 0.046
1070.337 0.799 0.053 0.819 0.046
1070.469 0.857 0.053 0.842 0.046
1070.601 0.858 0.053 0.903 0.046
1070.732 0.853 0.053 0.881 0.045
1070.864 0.851 0.053 0.872 0.046
1070.996 0.750 0.053 0.866 0.046
1071.128 0.832 0.054 0.870 0.047
1071.259 1.009 0.056 0.860 0.047
1071.391 0.986 0.056 0.843 0.047
1071.523 0.884 0.054 0.857 0.047
1071.654 0.875 0.053 0.824 0.046
1071.786 0.741 0.052 0.678 0.045
1071.918 0.511 0.051 0.489 0.044
1072.050 0.483 0.051 0.462 0.044
1072.181 0.666 0.052 0.737 0.046
1072.313 0.749 0.053 0.806 0.046
1072.445 0.912 0.054 0.813 0.046
1072.576 0.815 0.053 0.882 0.046
1072.708 0.682 0.052 0.810 0.045
1072.840 0.632 0.051 0.742 0.045
1072.972 0.591 0.050 0.741 0.044
1073.103 0.682 0.050 0.715 0.044
1073.235 0.678 0.050 0.747 0.044
1073.367 0.790 0.052 0.753 0.044
1073.498 0.771 0.051 0.722 0.044
1073.630 0.752 0.051 0.734 0.044
1073.762 0.775 0.051 0.830 0.045
1073.894 0.854 0.053 0.855 0.046
1074.025 0.862 0.054 0.789 0.047
1074.157 0.779 0.054 0.690 0.047
1074.289 0.706 0.053 0.590 0.045
1074.420 0.749 0.052 0.727 0.045
1074.552 0.798 0.051 0.787 0.044
1074.684 0.869 0.051 0.843 0.044
1074.816 0.973 0.053 0.996 0.045
1074.947 1.004 0.053 1.002 0.045
1075.079 1.004 0.053 0.975 0.046
1075.211 1.030 0.054 0.972 0.046
1075.342 1.024 0.055 1.064 0.047
1075.474 0.988 0.054 1.047 0.047
1075.606 1.018 0.054 0.956 0.046
1075.738 1.053 0.054 1.004 0.046
1075.869 1.042 0.054 1.051 0.046
1076.001 1.039 0.054 1.029 0.045
1076.133 0.916 0.053 0.994 0.045
1076.264 0.871 0.053 0.875 0.045
1076.396 0.848 0.052 0.744 0.044
1076.528 0.800 0.051 0.755 0.044
1076.660 0.794 0.052 0.806 0.045
1076.791 0.858 0.052 0.842 0.045
1076.923 0.880 0.052 0.865 0.045
1077.055 0.912 0.054 0.943 0.045
1077.187 0.873 0.055 0.955 0.045
1077.318 0.898 0.053 0.920 0.045
1077.450 0.958 0.053 0.976 0.045
1077.582 0.972 0.052 1.102 0.046
1077.713 1.007 0.052 1.025 0.045
1077.845 0.996 0.052 1.057 0.045
1077.977 1.002 0.052 1.051 0.045
1078.109 0.969 0.052 1.041 0.045
1078.240 0.948 0.052 1.125 0.046
1078.372 0.909 0.052 1.041 0.045
1078.504 0.845 0.051 0.879 0.045
1078.635 0.623 0.050 0.673 0.044
1078.767 0.513 0.049 0.507 0.043
1078.899 0.521 0.049 0.525 0.043
1079.031 0.654 0.049 0.675 0.043
1079.162 0.832 0.050 0.862 0.043
1079.294 0.878 0.050 0.999 0.044
1079.426 0.993 0.051 1.064 0.044
1079.557 1.008 0.051 0.954 0.044
1079.689 0.927 0.051 0.876 0.044
1079.821 0.844 0.050 0.794 0.043
1079.953 0.692 0.049 0.663 0.042
1080.084 0.640 0.048 0.572 0.042
1080.216 0.703 0.049 0.633 0.042
1080.348 0.832 0.050 0.779 0.043
1080.479 0.927 0.050 0.961 0.044
1080.611 1.007 0.050 1.007 0.044
1080.743 1.023 0.050 0.986 0.043
1080.875 0.934 0.049 0.961 0.043
1081.006 0.968 0.049 0.977 0.042
1081.138 1.017 0.049 0.919 0.042
1081.270 0.894 0.048 0.879 0.042
